,Relative CATE Error (percentage),Method,#Covariates/#Units
0,88.13938230499492,MALTS,0.015625
1,42.82756232772663,MALTS,0.015625
2,28.486500312956114,MALTS,0.015625
3,22.02396675707995,MALTS,0.015625
4,10.819826391999555,MALTS,0.015625
5,1.974107571131034,MALTS,0.015625
6,10.146709498019986,MALTS,0.015625
7,29.96066788506655,MALTS,0.015625
8,17.84416183769859,MALTS,0.015625
9,5.659075046486696,MALTS,0.015625
10,2.145708884031906,MALTS,0.015625
11,4.443711626178369,MALTS,0.015625
12,12.847247600970327,MALTS,0.015625
13,59.41477506804396,MALTS,0.015625
14,37.259128809310944,MALTS,0.015625
15,7.919133173278098,MALTS,0.015625
16,8.36065355991824,MALTS,0.015625
17,7.489521704380536,MALTS,0.015625
18,25.206768495369978,MALTS,0.015625
19,15.920034630215534,MALTS,0.015625
20,29.016626362962082,MALTS,0.015625
21,4.739933517303969,MALTS,0.015625
22,61.04984245923981,MALTS,0.015625
23,13.409174098016244,MALTS,0.015625
24,25.666022160977896,MALTS,0.015625
25,15.085316995203875,MALTS,0.015625
26,18.777221493332178,MALTS,0.015625
27,15.056830710402277,MALTS,0.015625
28,1.0243619734237588,MALTS,0.015625
29,36.69816132736702,MALTS,0.015625
30,23.988799544588364,MALTS,0.015625
31,15.490112000303261,MALTS,0.015625
32,42.09570867066393,MALTS,0.015625
33,46.30120860606951,MALTS,0.015625
34,12.667220799337036,MALTS,0.015625
35,0.19519848610698953,MALTS,0.015625
36,18.57391041711922,MALTS,0.015625
37,10.531612862206414,MALTS,0.015625
38,3.9239977047238876,MALTS,0.015625
39,7.27277291423944,MALTS,0.015625
40,0.4804296196509732,MALTS,0.015625
41,21.770467867105108,MALTS,0.015625
42,12.815960384923883,MALTS,0.015625
43,15.767721935896414,MALTS,0.015625
44,7.280380885111054,MALTS,0.015625
45,15.052016040900265,MALTS,0.015625
46,10.500836890726358,MALTS,0.015625
47,35.634690662830884,MALTS,0.015625
48,29.860712356821324,MALTS,0.015625
49,9.570979699827722,MALTS,0.015625
50,15.170210382220152,MALTS,0.015625
51,4.3664683417531664,MALTS,0.015625
52,7.736603710707104,MALTS,0.015625
53,18.620576177599073,MALTS,0.015625
54,11.340165150800173,MALTS,0.015625
55,7.883484306855132,MALTS,0.015625
56,26.947108886923026,MALTS,0.015625
57,5.4218332521048405,MALTS,0.015625
58,14.523219949954381,MALTS,0.015625
59,27.006851561062227,MALTS,0.015625
60,33.42940611655028,MALTS,0.015625
61,60.427656122885445,MALTS,0.015625
62,4.922001789427912,MALTS,0.015625
63,20.74437950929582,MALTS,0.015625
64,24.723083268778883,MALTS,0.015625
65,16.20477130485225,MALTS,0.015625
66,36.811207601064325,MALTS,0.015625
67,11.37490244282469,MALTS,0.015625
68,33.31680612046959,MALTS,0.015625
69,9.070989327234555,MALTS,0.015625
70,4.6325217520165625,MALTS,0.015625
71,30.357335158477543,MALTS,0.015625
72,16.749680573801452,MALTS,0.015625
73,40.70893906670274,MALTS,0.015625
74,5.675500839286196,MALTS,0.015625
75,22.353025824609247,MALTS,0.015625
76,28.98742161306634,MALTS,0.015625
77,12.317562025845467,MALTS,0.015625
78,3.1473348341438,MALTS,0.015625
79,10.75581490280678,MALTS,0.015625
80,8.987594961731789,MALTS,0.015625
81,39.79348400079405,MALTS,0.015625
82,16.171558198460083,MALTS,0.015625
83,11.044123838409847,MALTS,0.015625
84,34.55806557177355,MALTS,0.015625
85,35.92562090029652,MALTS,0.015625
86,41.58693987474558,MALTS,0.015625
87,4.318734195241267,MALTS,0.015625
88,60.798696047581956,MALTS,0.015625
89,7.024146992280531,MALTS,0.015625
90,10.26837991262196,MALTS,0.015625
91,9.748655910354534,MALTS,0.015625
92,6.278708678353609,MALTS,0.015625
93,18.55291353482283,MALTS,0.015625
94,11.51713139429135,MALTS,0.015625
95,5.346400856299558,MALTS,0.015625
96,4.97973557709602,MALTS,0.015625
97,6.6412065182972855,MALTS,0.015625
98,29.416279434031882,MALTS,0.015625
99,18.54582675777208,MALTS,0.015625
100,45.17508195745699,MALTS,0.015625
101,18.16109687733003,MALTS,0.015625
102,12.154631942566951,MALTS,0.015625
103,30.87919027114887,MALTS,0.015625
104,12.612886083565114,MALTS,0.015625
105,21.97951018001118,MALTS,0.015625
106,80.71380903112234,MALTS,0.015625
107,7.547561145664199,MALTS,0.015625
108,6.2239655680612245,MALTS,0.015625
109,7.142786879311867,MALTS,0.015625
110,10.544622306172688,MALTS,0.015625
111,17.532292010326895,MALTS,0.015625
112,16.925191970441414,MALTS,0.015625
113,29.847733857574564,MALTS,0.015625
114,44.56873434165387,MALTS,0.015625
115,10.573401857699265,MALTS,0.015625
116,1.134930388118255,MALTS,0.015625
117,20.94231378432885,MALTS,0.015625
118,10.772582335754064,MALTS,0.015625
119,5.042208524134438,MALTS,0.015625
120,6.723920560752446,MALTS,0.015625
121,76.45773943178683,MALTS,0.015625
122,6.36866938310435,MALTS,0.015625
123,6.8768435668262295,MALTS,0.015625
124,26.676862222463093,MALTS,0.015625
125,1.9041552592925466,MALTS,0.015625
126,15.167564339936593,MALTS,0.015625
127,13.916478275892436,MALTS,0.015625
128,20.008689679057102,MALTS,0.015625
129,5.803614459762394,MALTS,0.015625
130,16.978947402807318,MALTS,0.015625
131,8.721967494362982,MALTS,0.015625
132,5.047835393142382,MALTS,0.015625
133,8.399040836216669,MALTS,0.015625
134,5.83103305397391,MALTS,0.015625
135,16.484442401029295,MALTS,0.015625
136,26.772777028699952,MALTS,0.015625
137,3.962920127897248,MALTS,0.015625
138,5.133017278781048,MALTS,0.015625
139,33.630626941285996,MALTS,0.015625
140,24.762423188224066,MALTS,0.015625
141,15.43484696705507,MALTS,0.015625
142,6.757099191756537,MALTS,0.015625
143,7.965941260138036,MALTS,0.015625
144,15.140515102911303,MALTS,0.015625
145,69.94271730921047,MALTS,0.015625
146,4.640272797735956,MALTS,0.015625
147,7.7740602128195775,MALTS,0.015625
148,15.625395622772094,MALTS,0.015625
149,1.3617313672128284,MALTS,0.015625
150,9.299984029537843,MALTS,0.015625
151,1.9558245358225992,MALTS,0.015625
152,1.6394389496159507,MALTS,0.015625
153,8.217974611589964,MALTS,0.015625
154,17.5082289160073,MALTS,0.015625
155,36.78794083780541,MALTS,0.015625
156,2.7048511581479944,MALTS,0.015625
157,45.328004693247784,MALTS,0.015625
158,28.972601046887718,MALTS,0.015625
159,3.604059197148139,MALTS,0.015625
160,11.336460726318448,MALTS,0.015625
161,21.006241136237797,MALTS,0.015625
162,0.13857387407236868,MALTS,0.015625
163,2.07517729116807,MALTS,0.015625
164,15.050504599684858,MALTS,0.015625
165,11.652230579337832,MALTS,0.015625
166,14.356044379293403,MALTS,0.015625
167,9.439925953212033,MALTS,0.015625
168,11.869764299819929,MALTS,0.015625
169,9.011892798225038,MALTS,0.015625
170,3.36695584364428,MALTS,0.015625
171,40.98552677052646,MALTS,0.015625
172,0.8570874463554374,MALTS,0.015625
173,18.722201438428147,MALTS,0.015625
174,10.277066491667929,MALTS,0.015625
175,7.360659451936426,MALTS,0.015625
