,0,1,2,3,4,5,6,7,8
covered.MALTS.gbr.var 1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.45,0.8,0.8
covered.MALTS.gbr.var 2.0,1.0,1.0,1.0,1.0,1.0,0.9,0.4,0.65,0.55
covered.MALTS.gbr.var 3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.75,0.75
covered.MALTS.gbr.var 4.0,1.0,1.0,1.0,1.0,1.0,0.95,0.55,0.7,0.65
covered.MALTS.var 1.0,0.45,0.7,0.75,0.5,0.55,0.4,0.5,0.5,0.25
covered.MALTS.var 2.0,0.6,0.6,0.6,0.45,0.65,0.35,0.45,0.2,0.15
covered.MALTS.var 3.0,0.4,0.5,0.6,0.7,0.65,0.25,0.25,0.35,0.3
covered.MALTS.var 4.0,0.7,0.65,0.6,0.7,0.65,0.35,0.3,0.25,0.3
